"id","submitdate","G01Q04","G01Q17","G01Q18","G01Q19","G01Q05","G01Q06[SQ001]","G01Q06[SQ002]","G01Q06[SQ003]","G01Q06[SQ004]","G01Q06[SQ005]","G01Q11","G02Q02","G02Q07[SQ001]","G02Q07[SQ012]","G02Q07[SQ022]","G02Q07[SQ032]","G02Q07[SQ042]","G02Q07[SQ052]","G02Q07[SQ062]","G02Q07[SQ072]","G02Q07[SQ082]","G02Q07[SQ092]","G02Q08","G02Q09","G02Q10[SQ012]","G02Q10[SQ022]","G02Q10[SQ032]","G02Q10[SQ053]","G02Q10[SQ042]","G02Q10[SQ052]","G02Q12","G03Q03","G03Q13","G03Q14","G03Q15","G03Q16"
"1","2021-10-02 18:55:00","Yes","Last minute","No","No","Yes","No","No","No","No","Yes","Find something appropriate but also convenient","No","2","1","4","4","5","5","4","3","4","5","","1","5","3","4","4","5","4","","24-30","Male","Yes","Business Administration / Management","Germany"
"2","2021-10-02 19:11:46","Yes","Last minute","Yes","Yes","Yes","Yes","No","No","No","Yes","Last minute order is too late or not delivered on their birthday ","Yes","4","3","5","5","5","4","3","2","1","3","","3","4","2","4","4","3","5","","24-30","Female","Yes","Business Administration / Management","Germany"
"4","2021-10-03 09:33:07","No","In advance","No","Yes","Yes","No","No","No","Yes","No","If I order something I want it to be delivered on time (and without the quote in the package). ","No","3","2","5","4","4","5","2","2","2","4","","5","3","2","2","4","4","1","","24-30","Female","Yes","Transportation and Warehousing","Sweden"
"5","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"6","2021-10-03 09:34:32","No","Last minute","No","Yes","Yes","No","No","Yes","Yes","No","Finding appropriate presents that can be sent to them for a low cost. ","Yes","1","4","4","3","4","4","4","2","1","3","","4","5","2","2","4","3","2","","24-30","Male","Yes","Information Services and Data Processing","Sweden"
"7","2021-10-03 09:34:23","Yes","Last minute","Yes","Yes","Yes","No","Yes","No","No","Yes","Choose a cheap and nice gift ","Yes","3","3","4","4","4","4","2","2","2","4","","4","4","4","1","4","4","4","","18-23","Female","Yes","Business Administration / Management","Portugal"
"8","2021-10-03 09:48:12","Yes","Last minute","Yes","No","Yes","No","No","No","No","Yes","One problem is that gifts arrives on time. ","Yes","2","2","5","5","5","5","4","3","4","4","Earrings","3","3","4","2","4","4","4","","24-30","Female","Yes","Business Administration / Management","Finland"
"9","2021-10-03 09:44:11","Yes","In advance","Yes","Yes","Yes","No","No","Yes","No","No","The address ","Yes","3","2","5","1","4","4","5","5","5","5","A letter or personalized card","5","5","5","5","4","3","5","Nop","24-30","Male","Yes","Health Care and Social Assistance","Mexico"
"10","","Yes","Last minute","No","No","Yes","No","No","No","No","Yes","Finding out what the need at the moment ","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"11","2021-10-03 09:48:49","Yes","In advance","Yes","No","Yes","No","No","No","No","Yes","To choose for what they really like","No","2","2","3","3","1","4","2","3","4","2","","5","2","3","3","4","4","3","","18-23","Female","Yes","Business Administration / Management","China"
"12","2021-10-03 09:52:03","Yes","Last minute","No","No","Yes","No","No","No","Yes","No","Reachability ","Yes","1","2","4","3","2","5","5","3","2","4","","2","3","3","2","4","3","3","","24-30","Male","Yes","Business Administration / Management","Spain"
"13","2021-10-03 09:51:03","Yes","Last minute","Yes","No","Yes","No","No","No","No","Yes","Finding something on internet","Yes","2","4","5","5","5","5","2","2","3","4","","4","4","4","3","4","2","3","","18-23","Male","Yes","Business Administration / Management","Italy"
"14","2021-10-03 10:04:31","No","Last minute","No","Yes","No","No","No","Yes","No","No","actually there is no problem, there are a lot of marketplaces where I can pick any appropriate address","Yes","2","2","4","4","4","5","5","5","4","5","household items (cups, small dishes, decorations for the holiday), something useful for work and study (notebooks, pens)
","4","5","4","5","4","5","5","","18-23","Female","Yes","Business Administration / Management","Russian Federation"
"15","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"16","2021-10-03 09:52:02","Yes","Last minute","No","Yes","Yes","Yes","No","No","No","No","Gift quality and price","Yes","2","1","5","3","3","5","5","2","5","4","","4","5","5","3","4","5","5","","24-30","Female","Yes","Business Administration / Management","India"
"17","2021-10-03 10:08:50","Yes","In advance","Yes","No","Yes","Yes","No","No","No","Yes","Making sure the gift will be there the exact same day and not before or latter. Also, making sure she is at home to get the package.","Yes","3","2","4","4","4","4","2","5","5","2","","4","5","4","5","4","3","3","","18-23","Female","Yes","Business Administration / Management","Spain"
"18","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"19","2021-10-03 10:20:40","No","Last minute","Yes","No","Yes","No","No","No","No","Yes","To make sure the gift arrives at a proper time. Not too early and not too late for their birthday ","Yes","1","2","3","3","4","5","3","2","2","2","","4","5","4","3","4","4","5","","18-23","Male","Yes","Business Administration / Management","Italy"
"20","","Yes","In advance","Yes","Yes","Yes","No","No","No","No","Yes","Options ","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"21","2021-10-03 10:34:03","No","Last minute","No","No","Yes","No","No","No","No","Yes","Buying and sending it","Yes","1","2","3","2","2","2","1","1","1","1","","4","5","4","3","4","5","5","","24-30","Female","Yes","Business Administration / Management","Switzerland"
"22","2021-10-03 10:41:21","Yes","In advance","Yes","Yes","Yes","Yes","Yes","No","No","No","The distance, the timing of the package received, the amount, or sometimes even the package being received and never getting acknowledged to the sender","Yes","2","4","5","5","5","5","1","3","1","3","Accessoires, Watchers, Cologne, souvenirs from countries, Postcard or Letter ","4","4","4","4","4","5","5","Option of timing of receivable or comparison of gifts","18-23","Male","Yes","College, University, and Adult Education","India"
"23","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"24","","No","Last minute","No","No","Yes","No","No","No","Yes","No","The action of giving it physically ","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"25","2021-10-03 11:07:19","Yes","In advance","No","Yes","Yes","Yes","Yes","Yes","No","No","make sure that it arrives on time","Yes","2","2","3","4","3","5","5","3","3","3","Individualized photo products like cups with own picture on it","3","3","2","3","2","3","4","","24-30","Male","Yes","Business Administration / Management","Germany"
"26","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"27","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"28","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"29","2021-10-03 12:41:02","Yes","Last minute","Yes","No","Yes","Yes","Yes","No","No","Yes","shipping fees ","Yes","3","4","3","5","5","5","3","3","3","3","","3","5","1","2","4","4","4","you probably thought about it but to make sure the person doesn't miss the delivery, they should be sent an email saying they'll be receiving a gift (anonymous sender) and then they can figure out the best delivery method. 
And the possibility to add a personalized card or message with the gift !","24-30","Female","Yes","Business Administration / Management","France"
"30","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"31","2021-10-03 12:52:58","Yes","Last minute","No","Yes","Yes","Yes","No","No","No","No","What to buy that they would be able to recieve","Yes","2","3","4","5","5","5","3","4","3","4","","4","4","4","5","4","5","5","","18-23","Female","Yes","Business Administration / Management","Spain"
"32","","No","Last minute","No","No","No","No","No","No","Yes","No","proximity for physical handover not available","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"33","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"34","2021-10-03 15:53:38","Yes","Last minute","No","Yes","Yes","Yes","No","No","No","No","If I order the gift online, I first have to send it to my adress and afterwards send it again to my friend --> more transportation, time consuming, bad for environment","Yes","4","4","5","5","5","3","4","3","2","2","personalized gift, e.g. with photos","4","4","5","1","4","3","1","","24-30","Female","Yes","Business Administration / Management","Germany"
"35","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"36","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"37","2021-10-03 21:05:39","Yes","Last minute","Yes","No","Yes","No","Yes","No","No","Yes","I don't know what they need","No","1","1","3","4","4","5","3","2","4","1","Books","2","5","3","5","4","5","5","","31-45","Female","Yes","Business Administration / Management","Russian Federation"
"38","2021-10-04 05:52:22","Yes","In advance","Yes","Yes","Yes","No","No","No","No","Yes","Shipping - cost, hassle, and it arriving on time
","No","3","4","5","4","3","5","5","5","4","1","Something related to where they live. I like to give gift cards for experiences where they are - like a small spa gift or good restaurant nearby etc","3","5","4","5","4","5","3","If it was digital gift giving instead of or as well as physical, so it could include experiences, ebooks, movies, subscriptions, courses, things like yoga, spa treatments, travel, etc. ","24-30","Female","No","Business Administration / Management","Canada"
"39","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"40","","No","Last minute","Yes","No","Yes","No","No","No","Yes","No","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"41","2021-10-04 09:09:04","Yes","Last minute","Yes","Yes","Yes","No","No","Yes","No","No","The size of the gift, because it is crucial when sending ","Yes","4","3","5","5","5","5","5","4","4","5","Personalized stuff such as jewelry or biscuits","4","4","5","5","4","2","4","Not right away. 
","24-30","Female","Yes","Business Administration / Management","Norway"
"42","2021-10-04 10:04:02","Yes","In advance","No","No","Yes","Yes","No","Yes","No","No","That the present might not survive the transport.","No","2","3","3","3","3","3","4","1","2","3","Book","5","3","3","1","4","2","3","Reminder what you giftet them the last time","24-30","Female","Yes","Business Administration / Management","Switzerland"
"43","2021-10-04 10:04:17","No","Last minute","No","Yes","Yes","No","No","No","Yes","No","An idea what to gift them","Yes","2","3","5","5","4","5","3","2","4","5","","3","5","3","1","4","4","5","","24-30","Male","Yes","Business Administration / Management","Germany"
"44","2021-10-04 10:06:12","Yes","In advance","No","No","Yes","No","No","No","No","Yes","high costs of sending a package as well as the environmental impact caused by long distance transport","Yes","2","4","5","5","3","4","1","1","1","2","a card/letter","5","2","2","1","4","4","3","","18-23","Female","Yes","Arts, Entertainment, and Recreation","Austria"
"45","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"46","2021-10-04 10:09:00","No","Last minute","No","No","Yes","No","No","No","Yes","No","Not knowing what to gift them","Yes","1","2","3","1","4","4","1","1","1","4","","3","4","4","1","4","5","5","","24-30","Male","Yes","Legal Services","Germany"
"47","2021-10-04 10:06:58","No","In advance","Yes","No","No","No","Yes","No","No","No","I prefer giving it in person","No","3","1","5","4","4","3","1","1","1","1","","5","4","2","1","4","1","1","","24-30","Female","Yes","Business Administration / Management","Switzerland"
"48","2021-10-04 10:13:59","Yes","In advance","No","No","Yes","No","No","Yes","No","No","To send the gift on time","No","3","5","1","4","3","4","4","4","4","2","","4","5","2","1","4","5","3","","24-30","Female","No","Business Administration / Management","Germany"
"49","","Yes","Last minute","No","No","Yes","No","Yes","No","No","Yes","Packaging, size, money, time","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"50","2021-10-04 10:19:52","Yes","Last minute","No","No","Yes","No","Yes","No","No","Yes","Packaging, size, time, money","Yes","2","3","5","5","5","5","5","4","4","5","Pictures frames, magnets, wellness things ","4","5","4","2","4","4","4","When to order to be sure that my friend will receive my gift on time. May get a reminder if I enter the birthdays in the app/calendar. 


","24-30","Female","Yes","Business Administration / Management","Germany"
"51","2021-10-04 10:22:08","Yes","Last minute","No","No","Yes","Yes","No","Yes","No","Yes","Paying for the shipment
","No","3","5","5","5","3","5","5","1","5","2","","3","4","4","4","4","3","3","","24-30","Female","Yes","Business Administration / Management","Germany"
"52","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"53","2021-10-04 10:27:10","Yes","Last minute","Yes","Yes","Yes","No","No","No","No","Yes","Delivery ","Yes","3","4","5","5","5","4","2","5","4","5","","5","5","4","5","4","4","5","","24-30","Female","Yes","Business Administration / Management","Germany"
"54","2021-10-04 10:31:23","Yes","Last minute","Yes","No","Yes","No","No","No","No","Yes","Expenses for sending them the gift are higher than the value of the gift","Yes","3","4","4","5","4","4","5","4","2","4","","5","5","2","5","4","5","4","","24-30","Female","Yes","Health Care and Social Assistance","Germany"
"55","2021-10-04 10:39:34","Yes","Last minute","Yes","No","Yes","No","No","No","No","Yes","- the distance ","Yes","2","4","3","4","4","5","4","3","3","4","- pictures ","4","4","5","5","4","4","5","- being affordable ","31-45","Female","No","College, University, and Adult Education","Germany"
"56","2021-10-04 10:45:10","No","Last minute","Yes","No","Yes","No","No","No","No","Yes","To remember the Birthday and not seeing the reaction","Yes","1","3","5","3","4","5","4","1","1","4","","4","5","4","3","4","2","4","","24-30","Male","No","Retail","Germany"
"57","2021-10-04 10:48:10","Yes","Last minute","No","No","Yes","No","No","No","No","Yes","Logistics","Yes","3","4","3","4","4","2","3","4","2","2","","3","4","3","4","4","5","5","","24-30","Male","Yes","Business Administration / Management","Germany"
"58","2021-10-04 11:00:07","Yes","Last minute","No","Yes","Yes","No","Yes","Yes","No","No","-Choosing the approbiate value
-Ordering early enough","Yes","1","3","5","4","4","5","5","4","3","4","","4","4","4","2","4","1","3","","46-60","Female","No","Health Care and Social Assistance","Germany"
"59","2021-10-04 11:02:08","Yes","In advance","Yes","Yes","Yes","No","No","Yes","No","No","That they receive their present on their birthday (delivery on time)","Yes","3","4","4","1","2","4","5","5","5","4","","3","5","4","4","4","4","5","","24-30","Female","Yes","Arts, Entertainment, and Recreation","Germany"
"60","","Yes","In advance","Yes","No","No","Yes","No","No","No","No","To find an individual gift","Yes","","","","","3","3","","3","3","","","3","4","3","3","4","4","3","","","N/A","","",""
"61","2021-10-04 11:11:17","Yes","In advance","No","No","No","Yes","Yes","No","No","No","To get a personal & convenient present solution ","Yes","3","5","5","4","3","5","4","5","5","2","","3","5","4","2","4","5","3","","24-30","Female","Yes","Business Administration / Management","Germany"
"62","2021-10-04 11:19:23","Yes","In advance","No","No","Yes","Yes","Yes","No","No","No","That I want to send more than just a little thing but it is super costly and the sending costs more than the gift","No","3","5","5","5","5","5","1","1","2","2","Sending the person a short and funny survey and out of this survey you will find out how to fill the box","4","3","4","4","4","3","4","Cooperations with companies..not only selling their own stuff","24-30","Female","Yes","Health Care and Social Assistance","Austria"
"63","2021-10-04 11:19:13","No","Last minute","No","No","No","Yes","No","No","No","No","If you know somebody well the distance doesn‘t make a difference on the difficulty of finding the right Gift. ","Yes","3","2","4","1","1","1","4","3","4","2","","3","2","1","3","3","2","2","","24-30","Female","Yes","Health Care and Social Assistance","Germany"
"64","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"65","2021-10-04 11:44:41","No","Last minute","Yes","No","Yes","No","No","No","No","Yes","Remembering to do so, doing it in advance, finding the right idea","Yes","2","4","5","5","5","4","2","1","1","5","products with photos like cups or collages","3","5","2","5","4","4","4","Provide me with ideas for small gifts in general. Also include the option for vouchers like for wellness, restaurants or the like","24-30","Female","Yes","Legal Services","Germany"
"66","2021-10-04 11:48:34","Yes","Last minute","No","Yes","No","Yes","No","No","No","No","To have a appropriate idea and to send it there in time ","Yes","2","1","4","3","4","5","3","2","4","3","","2","3","1","1","4","3","3","","18-23","Female","Yes","Health Care and Social Assistance","Germany"
"67","2021-10-04 11:58:30","No","Last minute","No","No","Yes","No","No","No","Yes","No",".","Yes","4","3","2","4","2","5","4","2","2","3","","4","3","4","3","4","4","4","","24-30","Male","Yes","Business Administration / Management","Switzerland"
"68","2021-10-04 12:29:08","No","Last minute","Yes","No","Yes","No","No","No","No","Yes","Don't know what they like or what fits them","Yes","2","4","3","2","3","5","3","3","1","2","","4","5","3","5","4","5","5","","18-23","Male","Yes","Information Services and Data Processing","Germany"
"69","","Yes","Last minute","Yes","No","Yes","No","Yes","No","No","No","I don‘t know what he or she is currently intressted in. ","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"70","2021-10-04 12:42:58","Yes","Last minute","Yes","Yes","Yes","No","No","No","Yes","No","Shipping ","Yes","3","4","4","4","4","5","5","3","4","5","","4","5","4","2","4","3","3","","18-23","Female","Yes","Legal Services","Germany"
"71","2021-10-04 13:11:36","Yes","Last minute","Yes","Yes","Yes","Yes","No","No","No","Yes","Delivery times because I last minute and package are normally at bit too large/expensive ","Yes","4","2","4","5","5","5","2","3","2","2","","4","4","2","5","4","4","5","","24-30","Female","Yes","Business Administration / Management","Germany"
"72","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"73","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"74","2021-10-04 13:33:24","No","Last minute","Yes","No","Yes","No","No","No","Yes","No","I dont care about that person.","No","1","4","2","4","2","5","2","1","1","4","","3","2","5","5","4","4","5","","24-30","Male","Yes","Business Administration / Management","Germany"
"75","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"76","2021-10-04 14:23:39","Yes","Last minute","No","Yes","Yes","Yes","No","Yes","No","No","Sending time, porto costs","No","1","4","4","3","2","1","2","1","4","3","","2","5","2","2","4","4","2","","24-30","Male","Yes","Business Administration / Management","Germany"
"77","2021-10-04 14:24:01","Yes","Last minute","No","No","No","Yes","No","No","No","No","Shipping","Yes","3","3","4","4","3","5","4","3","3","3","","2","4","4","1","4","3","1","","18-23","Male","Yes","Business Administration / Management","Switzerland"
"78","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"79","","No","Last minute","Yes","No","Yes","No","No","No","Yes","No","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"80","","No","Last minute","No","No","Yes","No","Yes","No","No","No","None, if i want to give them a gift i just give it to them later on, when we see each other","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"81","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"82","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"83","2021-10-04 16:44:37","Yes","In advance","Yes","No","Yes","No","Yes","No","No","No","Distance","Yes","4","5","5","5","5","5","5","3","5","5","","3","3","5","3","4","5","5","","18-23","Male","Yes","Other Industry","Austria"
"84","","Yes","Last minute","No","No","Yes","No","No","No","No","Yes","How to send it so that it still transports the intention to make sb personally happy.","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"85","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"86","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"87","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"88","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"89","","Yes","In advance","Yes","Yes","Yes","Yes","Yes","No","No","No","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"90","2021-10-05 11:35:43","No","In advance","Yes","Yes","No","No","No","Yes","No","No","Options are reduced and I have to plan ahead for the gift to arrive on time. It has happened that gift is delayed for Christmas.","Yes","3","5","5","5","5","5","5","4","5","5","Cheese","3","4","4","5","4","5","5","NDA of my address book, I wouldn't like random strangers having all of my friends addresses.","24-30","Female","Yes","Business Administration / Management","Mexico"
"91","2021-10-05 12:16:22","Yes","Last minute","Yes","No","Yes","No","No","No","Yes","No","I don‘t know ","Yes","1","3","2","3","3","5","3","1","3","2","","3","3","4","4","4","3","3","","24-30","Male","Yes","Mining","Germany"
"92","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"93","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"94","2021-10-05 12:40:04","No","Last minute","No","No","No","Yes","Yes","No","No","No","fitting it in a package that is not too big","No","4","3","4","4","4","4","3","3","4","2","notebooks, pencils, ","5","5","3","1","4","4","5","","18-23","Female","Yes","Legal Services","Germany"
"95","2021-10-05 12:42:08","No","Last minute","Yes","No","Yes","No","No","No","Yes","No","I am not good at gifting at all","No","3","3","4","4","4","5","3","2","3","4","","3","5","3","4","4","4","4","","24-30","Female","Yes","Primary/Secondary (K-12) Education","Germany"
"96","2021-10-05 12:44:10","No","In advance","Yes","No","Yes","No","Yes","No","No","No","Logistics","Yes","2","4","5","4","4","3","2","4","2","1","","5","4","5","5","4","3","3","","24-30","Male","No","Business Administration / Management","Austria"
"97","2021-10-05 12:44:52","No","Last minute","Yes","No","Yes","No","No","No","Yes","No","Not having suitable gift ideas","Yes","3","3","5","4","3","4","3","3","2","5","","4","3","5","5","4","4","3","","24-30","Male","Yes","Business Administration / Management","Germany"
"98","2021-10-05 12:45:33","No","Last minute","No","Yes","Yes","No","No","No","No","Yes","Not sure what their interests are or what they already have","Yes","4","3","3","4","4","4","3","2","2","4","","5","4","4","4","4","5","3","","31-45","Male","No","Information Services and Data Processing","Germany"
"99","2021-10-05 12:57:44","Yes","Last minute","Yes","No","Yes","No","No","Yes","No","No","It’s hard to make it personal ","Yes","4","3","3","4","4","5","4","4","3","3","","4","5","4","4","4","4","4","","31-45","Female","No","Business Administration / Management","Switzerland"
"100","2021-10-05 13:34:37","Yes","In advance","Yes","Yes","Yes","Yes","No","Yes","No","No","Sending something on time","Yes","2","2","4","4","4","5","5","3","3","1","","5","5","4","2","4","1","1","","24-30","Male","Yes","Legal Services","Switzerland"
"101","2021-10-05 14:02:36","Yes","Last minute","No","Yes","No","No","Yes","Yes","No","No","timing of the delivery","Yes","4","5","5","5","5","5","4","5","2","4","","5","5","4","1","4","3","5","","24-30","Female","Yes","Business Administration / Management","Switzerland"
"102","2021-10-05 14:34:59","No","Last minute","No","Yes","No","Yes","No","Yes","No","No","Figuring out their address in order to send a gift online","Yes","2","3","3","4","4","4","2","2","4","2","Books","4","5","3","4","4","4","5","","31-45","Female","No","Other Industry","Switzerland"
"103","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"104","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"105","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"106","2021-10-06 06:51:04","Yes","In advance","No","Yes","Yes","No","No","No","No","Yes","Finding something for 5-10 euros to make then smile showing that I was thinking of them but without spending too much money ","Yes","1","4","5","3","4","5","5","4","4","5","Some funny items as a joke ","2","5","3","4","4","2","5","","24-30","Female","No","Business Administration / Management","Germany"
"107","2021-10-06 07:10:03","No","In advance","No","No","Yes","Yes","Yes","No","No","No","To know what they may need, what they already have and also what they like to do at the moment. ","Yes","1","2","2","4","2","4","4","4","1","4","","5","4","4","2","4","5","3","","24-30","Female","Yes","Health Care and Social Assistance","Germany"
"108","2021-10-06 10:43:54","No","Last minute","Yes","No","Yes","No","No","No","Yes","No","Not knowing them well enough. I don't know what would make them happy.","No","1","4","5","3","5","5","1","1","1","1","","4","4","1","4","4","1","2","searching the gift by entering general hobbys","18-23","Male","Yes","Other Manufacturing","Germany"
"109","2021-10-06 11:13:17","Yes","Last minute","Yes","No","Yes","Yes","Yes","Yes","No","No","There is no individual delivery of the gift which is important to me. I don’t like to substitute that with a DHL courier throwing a parcel at the door ","No","3","3","3","3","2","3","5","2","1","1","Socks ","3","5","5","5","4","5","5","Automatical reminder emails / WhatsApp would be great ","24-30","Male","No","Business Administration / Management","Germany"
"110","2021-10-06 11:48:06","Yes","In advance","No","Yes","No","Yes","Yes","No","No","No","you do not know if this is exactly what he/she likes. It may not fit into the actual living situation","Yes","4","3","5","5","3","4","1","2","2","2","","3","3","2","2","4","4","5","","46-60","Female","No","Business Administration / Management","Germany"
"111","2021-10-06 12:39:32","No","In advance","No","No","Yes","No","Yes","No","No","No","To find something that makes them happy.","No","2","2","3","3","3","4","4","1","1","1","books","5","2","4","1","1","4","3","no","46-60","Female","No","Primary/Secondary (K-12) Education","Germany"
"112","2021-10-06 18:56:38","Yes","In advance","No","No","Yes","Yes","Yes","No","No","No","Sending him the gift ","Yes","4","3","5","5","5","4","2","2","5","5","","5","4","5","1","4","4","2","","46-60","Male","No","Business Administration / Management","Germany"
"113","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"114","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"115","2021-10-06 19:38:02","Yes","Last minute","No","Yes","Yes","No","No","No","No","Yes","The necessary time: buy the small gift, wrap it, but it in a box to send it, bring it to the ost office... ","Yes","3","4","5","5","5","5","3","4","3","3","Nice pencils, post-its, paper notebook,...","4","4","3","3","4","4","5","Little predefined boxes: a sweets box, an office box, a kitchen box,... ","46-60","Female","No","Information Services and Data Processing","Germany"
"116","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"117","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"118","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"119","2021-10-06 20:45:54","Yes","Last minute","No","Yes","Yes","No","Yes","No","No","Yes","The nice packing and sending it to the correct time, no delay by forwarder or deposing it at the neighbour.","Yes","2","3","5","3","5","4","2","3","2","2","Torch, Keychain, helpfull Tools","5","3","4","5","4","4","5","No","46-60","N/A","No","Telecommunications","Germany"
"120","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"121","2021-10-06 21:41:23","Yes","In advance","No","Yes","Yes","Yes","No","Yes","No","No","Estimating whether the gift will arrive in time","Yes","2","4","5","5","4","5","5","5","4","2","","2","4","4","5","4","3","4","","18-23","Female","Yes","Business Administration / Management","Germany"
"122","2021-10-06 21:47:17","Yes","In advance","No","Yes","Yes","No","Yes","No","No","No","To find a good gift","Yes","1","3","3","3","4","4","2","1","2","2","Electronic gadgets","5","5","4","2","4","2","3","",">60","Male","No","Other Industry","Portugal"
"123","2021-10-06 22:31:57","Yes","In advance","Yes","Yes","Yes","Yes","No","No","No","No","Maybe ","Yes","1","1","1","1","1","1","1","1","1","1","Thanks ","1","1","1","1","1","1","1","Thanks ","24-30","Male","Yes","Business Administration / Management","Afghanistan"
"124","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"125","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"126","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""

